company,concept,value,start,end,fiscal_year,fiscal_period,form,filed
DoorDash,OperatingIncomeLoss,-210000000,2018-01-01,2018-12-31,2020.0,FY,10-K,2021-03-05
DoorDash,OperatingIncomeLoss,-616000000,2019-01-01,2019-12-31,2020.0,FY,10-K,2021-03-05
DoorDash,OperatingIncomeLoss,-616000000,2019-01-01,2019-12-31,2021.0,FY,10-K,2022-03-01
DoorDash,OperatingIncomeLoss,-123000000,2020-01-01,2020-03-31,2021.0,Q1,10-Q,2021-05-14
DoorDash,OperatingIncomeLoss,-96000000,2020-01-01,2020-06-30,2021.0,Q2,10-Q,2021-08-13
DoorDash,OperatingIncomeLoss,27000000,2020-04-01,2020-06-30,2021.0,Q2,10-Q,2021-08-13
DoorDash,OperatingIncomeLoss,-131000000,2020-01-01,2020-09-30,2021.0,Q3,10-Q,2021-11-10
DoorDash,OperatingIncomeLoss,-35000000,2020-07-01,2020-09-30,2021.0,Q3,10-Q,2021-11-10
DoorDash,OperatingIncomeLoss,-436000000,2020-01-01,2020-12-31,2020.0,FY,10-K,2021-03-05
DoorDash,OperatingIncomeLoss,-436000000,2020-01-01,2020-12-31,2021.0,FY,10-K,2022-03-01
DoorDash,OperatingIncomeLoss,-436000000,2020-01-01,2020-12-31,2022.0,FY,10-K,2023-02-27
DoorDash,OperatingIncomeLoss,-99000000,2021-01-01,2021-03-31,2021.0,Q1,10-Q,2021-05-14
DoorDash,OperatingIncomeLoss,-99000000,2021-01-01,2021-03-31,2022.0,Q1,10-Q,2022-05-06
DoorDash,OperatingIncomeLoss,-198000000,2021-01-01,2021-06-30,2021.0,Q2,10-Q,2021-08-13
DoorDash,OperatingIncomeLoss,-198000000,2021-01-01,2021-06-30,2022.0,Q2,10-Q,2022-08-05
DoorDash,OperatingIncomeLoss,-99000000,2021-04-01,2021-06-30,2021.0,Q2,10-Q,2021-08-13
DoorDash,OperatingIncomeLoss,-99000000,2021-04-01,2021-06-30,2022.0,Q2,10-Q,2022-08-05
DoorDash,OperatingIncomeLoss,-298000000,2021-01-01,2021-09-30,2021.0,Q3,10-Q,2021-11-10
DoorDash,OperatingIncomeLoss,-298000000,2021-01-01,2021-09-30,2022.0,Q3,10-Q,2022-11-04
DoorDash,OperatingIncomeLoss,-100000000,2021-07-01,2021-09-30,2021.0,Q3,10-Q,2021-11-10
DoorDash,OperatingIncomeLoss,-100000000,2021-07-01,2021-09-30,2022.0,Q3,10-Q,2022-11-04
DoorDash,OperatingIncomeLoss,-452000000,2021-01-01,2021-12-31,2021.0,FY,10-K,2022-03-01
DoorDash,OperatingIncomeLoss,-452000000,2021-01-01,2021-12-31,2022.0,FY,10-K,2023-02-27
DoorDash,OperatingIncomeLoss,-452000000,2021-01-01,2021-12-31,2023.0,FY,10-K,2024-02-20
DoorDash,OperatingIncomeLoss,-173000000,2022-01-01,2022-03-31,2022.0,Q1,10-Q,2022-05-06
DoorDash,OperatingIncomeLoss,-173000000,2022-01-01,2022-03-31,2023.0,Q1,10-Q,2023-05-05
DoorDash,OperatingIncomeLoss,-446000000,2022-01-01,2022-06-30,2022.0,Q2,10-Q,2022-08-05
DoorDash,OperatingIncomeLoss,-446000000,2022-01-01,2022-06-30,2023.0,Q2,10-Q,2023-08-02
DoorDash,OperatingIncomeLoss,-273000000,2022-04-01,2022-06-30,2022.0,Q2,10-Q,2022-08-05
DoorDash,OperatingIncomeLoss,-273000000,2022-04-01,2022-06-30,2023.0,Q2,10-Q,2023-08-02
DoorDash,OperatingIncomeLoss,-754000000,2022-01-01,2022-09-30,2022.0,Q3,10-Q,2022-11-04
DoorDash,OperatingIncomeLoss,-754000000,2022-01-01,2022-09-30,2023.0,Q3,10-Q,2023-11-01
DoorDash,OperatingIncomeLoss,-308000000,2022-07-01,2022-09-30,2022.0,Q3,10-Q,2022-11-04
DoorDash,OperatingIncomeLoss,-308000000,2022-07-01,2022-09-30,2023.0,Q3,10-Q,2023-11-01
