company,end,net_income
DoorDash,2018-12-31,-204000000
DoorDash,2019-12-31,-667000000
DoorDash,2020-12-31,-461000000
DoorDash,2021-12-31,-468000000
DoorDash,2022-12-31,-1365000000
DoorDash,2023-12-31,-558000000
DoorDash,2024-12-31,123000000
DoorDash,2025-12-31,935000000
Instacart,2021-12-31,-73000000
Instacart,2022-12-31,428000000
Instacart,2023-12-31,-1622000000
Instacart,2024-12-31,457000000
Instacart,2025-12-31,447000000
Uber,2017-12-31,-4033000000
Uber,2018-12-31,997000000
Uber,2019-12-31,-8506000000
Uber,2020-12-31,-6768000000
Uber,2021-12-31,-496000000
Uber,2022-12-31,-9141000000
Uber,2023-12-31,1887000000
Uber,2024-12-31,9856000000
Uber,2025-12-31,10053000000
